Module,Function,Haskell,Gallina,Proofs
Core,nonDetCmpVar,8,2,
Core,nopDmdType,4,2,
Core,nopSig,4,2,
Core,notElemTCvSubst,6,,
Core,notOrphan,3,2,
Core,nt_co,,16,
Core,nt_etad_rhs,,16,
Core,nt_rhs,,16,
Core,nthRole,5,,
Core,nukeRnEnvL,3,3,
Core,nukeRnEnvR,,3,
Core,occInfo,,3,
Core,okParent,5,8,
Core,oneShotInfo,,3,
Core,oneifyDmd,3,6,
Core,otherCons,3,2,
Core,partitionDVarEnv,2,3,
Core,partitionDVarSet,2,,
Core,partitionInvisibles,12,,
Core,partitionVarEnv,1,6,
Core,partitionVarSet,7,,
Core,patSynArgs,2,2,
Core,patSynArity,2,2,
Core,patSynBuilder,2,2,
Core,patSynExTyVarBinders,2,2,
Core,patSynExTyVars,2,8,
Core,patSynFieldLabels,2,2,
Core,patSynFieldType,5,10,
Core,patSynInstArgTys,9,,
Core,patSynInstResTy,7,,
Core,patSynIsInfix,2,2,
Core,patSynMatcher,2,2,
Core,patSynName,2,2,
Core,patSynSig,5,,
Core,patSynUnivTyVarBinders,2,2,
Core,peelCallDmd,11,12,
Core,peelFV,6,7,
Core,peelManyCalls,13,31,
Core,peelUseCall,3,6,
Core,piResultTy,4,,
Core,piResultTy_maybe,11,,
Core,piResultTys,27,,
Core,pluralVarSet,2,,
Core,plusDVarEnv,2,2,
Core,plusDVarEnv_C,2,3,
Core,plusMaybeVarEnv_C,1,3,
Core,plusVarEnv,1,2,
Core,plusVarEnvList,1,2,
Core,plusVarEnv_C,1,3,
Core,plusVarEnv_CD,1,3,
Core,postProcessDmd,12,18,
Core,postProcessDmdEnv,6,14,
Core,postProcessDmdResult,4,7,
Core,postProcessDmdType,8,12,
Core,postProcessUnsat,5,7,
Core,ppArityInfo,4,,
Core,ppCafInfo,3,,
Core,ppSuggestExplicitKinds,5,,
Core,pprClassPred,2,,
Core,pprCo,3,,
Core,pprCoAxBranch,9,,
Core,pprCoAxBranchHdr,2,,
Core,pprCoAxiom,4,,
Core,pprDataConWithArgs,8,,
Core,pprDataCons,5,,
Core,pprDefMethInfo,5,,
Core,pprForAll,2,,
Core,pprFunDep,6,,
Core,pprFundeps,3,,
Core,pprIdDetails,31,,
Core,pprIfaceStrictSig,3,,
Core,pprKind,3,,
Core,pprParendTheta,2,,
Core,pprPatSynType,13,,
Core,pprPrecType,6,,
Core,pprPromotionQuote,20,6,
Core,pprShortTyThing,3,,
Core,pprSigmaType,2,,
Core,pprSourceTyCon,6,,
Core,pprStrictness,6,,
Core,pprTheta,2,,
Core,pprThetaArrowTy,6,,
Core,pprTvBndr,2,,
Core,pprTvBndrs,2,,
Core,pprTyLit,2,,
Core,pprTyThingCategory,2,,
Core,pprTyVar,13,,
Core,pprTyVars,2,,
Core,pprType,3,,
Core,pprTypeApp,4,,
Core,pprUserForAll,2,,
Core,pprUserTypeErrorTy,15,,
Core,pprVarSet,8,,
Core,ppr_co_ax_branch,19,,
Core,ppr_debug,8,,
Core,ppr_id_scope,16,,
Core,predTypeEqRel,7,,
Core,primElemRepSizeB,11,14,
Core,primRepIsFloat,5,8,
Core,primRepName,,22,
Core,primRepSizeB,12,,
Core,profNoteCC,,13,
Core,profNoteCount,,13,
Core,profNoteScope,,13,
Core,promoteCoercion,62,,
Core,promoteDataCon,3,2,
Core,provSize,5,,
Core,psArgs,,3,
Core,psArity,,3,
Core,psBuilder,,3,
Core,psExTyVars,,3,
Core,psFieldLabels,,3,
Core,psInfix,,3,
Core,psMatcher,,3,
Core,psName,,3,
Core,psProvTheta,,3,
Core,psReqTheta,,3,
Core,psResultTy,,3,
Core,psUnique,,3,
Core,psUnivTyVars,,3,
Core,re_base,,3,
Core,re_visible_orphs,,3,
Core,realUnique,,3,
Core,removeDmdTyArgs,2,2,
Core,repGetTyVar_maybe,3,,
Core,repSplitAppTy_maybe,13,,
Core,repSplitAppTys,17,,
Core,repSplitTyConApp_maybe,7,,
Core,resTypeArgDmd,20,2,
Core,restrictVarEnv,1,8,
Core,resultIsLevPoly,2,,
Core,retCPR_maybe,4,7,
Core,returnsCPR_maybe,3,2,
Core,reuseEnv,3,2,
Core,rhssOfAlts,2,4,
Core,rhssOfBind,3,8,
Core,rnBndr2,2,2,
Core,rnBndr2_var,9,11,
Core,rnBndrL,7,8,
Core,rnBndrR,7,8,
Core,rnBndrs2,2,2,
Core,rnEnvL,2,2,
Core,rnEnvR,2,2,
Core,rnEtaL,7,8,
Core,rnEtaR,7,8,
Core,rnInScope,2,2,
Core,rnInScopeSet,2,2,
Core,rnOccL,3,5,
Core,rnOccL_maybe,3,5,
Core,rnOccR,,5,
Core,rnOccR_maybe,,5,
Core,rnSwap,4,2,
Core,ru_act,,7,
Core,ru_args,,7,
Core,ru_auto,,7,
Core,ru_bndrs,,7,
Core,ru_fn,,5,
Core,ru_local,,7,
Core,ru_name,,5,
Core,ru_nargs,,7,
Core,ru_origin,,7,
Core,ru_orphan,,7,
Core,ru_rough,,7,
Core,ru_try,,7,
Core,ruleActivation,3,6,
Core,ruleArity,3,6,
Core,ruleIdName,2,2,
Core,ruleInfo,,3,
Core,ruleInfoFreeVars,2,2,
Core,ruleInfoRules,2,2,
Core,ruleModule,3,6,
Core,ruleName,2,2,
Core,sameVis,8,8,
Core,saturatedByOneShots,9,18,
Core,sd,,3,
Core,sel_naughty,,31,
Core,seqArgStr,3,2,
Core,seqArgUse,3,2,
Core,seqArgUseList,3,2,
Core,seqCPRResult,4,2,
Core,seqCo,21,,
Core,seqCos,3,,
Core,seqDVarSet,2,2,
Core,seqDemand,2,2,
Core,seqDemandList,3,2,
Core,seqDmd,2,2,
Core,seqDmdEnv,2,2,
Core,seqDmdResult,4,2,
Core,seqDmdType,3,2,
Core,seqProv,5,,
Core,seqStrDmd,4,2,
Core,seqStrDmdList,3,2,
Core,seqStrictSig,2,2,
Core,seqType,9,,
Core,seqTypes,3,,
Core,seqUseDmd,4,2,
Core,seqVarSet,2,2,
Core,setArityInfo,2,8,
Core,setCafInfo,2,8,
Core,setCallArityInfo,2,8,
Core,setCoVarName,2,,
Core,setCoVarUnique,2,,
Core,setCvSubstEnv,2,,
Core,setDemandInfo,2,8,
Core,setIdDetails,2,5,
Core,setIdExported,4,10,
Core,setIdNotExported,3,9,
Core,setInlinePragInfo,2,8,
Core,setJoinResTy,6,,
Core,setLevityInfoWithType,6,,
Core,setNeverLevPoly,4,11,
Core,setNominalRole_maybe,34,,
Core,setOccInfo,2,8,
Core,setOneShotInfo,2,8,
Core,setRuleIdName,44,10,
Core,setRuleInfo,2,8,
Core,setRuleInfoHead,7,2,
Core,setStrictnessInfo,2,8,
Core,setTcTyVarDetails,23,,
Core,setTvSubstEnv,2,,
Core,setTyVarKind,2,5,
Core,setTyVarName,2,2,
Core,setTyVarUnique,2,2,
Core,setUnfoldingInfo,4,8,
Core,setVarName,4,6,
Core,setVarType,2,5,
Core,setVarUnique,4,6,
Core,sizeDVarSet,2,2,
Core,sizeVarSet,1,2,
Core,size_AnnExpr',,39,
Core,sourceName,,13,
Core,sourceSpan,,13,
Core,specialPromotedDc,2,,
Core,splitAppCo_maybe,11,,
Core,splitAppTy,4,,
Core,splitAppTy_maybe,4,,
Core,splitAppTys,19,,
Core,splitArgStrProdDmd,3,6,
Core,splitCastTy_maybe,4,,
Core,splitCoercionType_maybe,5,,
Core,splitDmdTy,3,6,
Core,splitFVs,17,17,
Core,splitForAllCo_maybe,3,,
Core,splitForAllTy,4,,
Core,splitForAllTyVarBndrs,6,,
Core,splitForAllTy_maybe,6,,
Core,splitForAllTys,6,,
Core,splitForAllTys',5,,
Core,splitFunCo_maybe,3,,
Core,splitFunTy,4,,
Core,splitFunTy_maybe,4,,
Core,splitFunTys,6,,
Core,splitListTyConApp_maybe,4,,
Core,splitPiTy,4,,
Core,splitPiTy_maybe,7,,
Core,splitPiTys,7,,
Core,splitPiTysInvisible,9,,
Core,splitProdDmd_maybe,19,26,
Core,splitStrProdDmd,32,11,
Core,splitStrictSig,2,2,
Core,splitTyConApp,4,,
Core,splitTyConAppCo_maybe,9,,
Core,splitTyConApp_maybe,3,,
Core,splitUseProdDmd,8,11,
Core,splitVisVarsOfType,18,,
Core,splitVisVarsOfTypes,2,,
Core,strBot,3,2,
Core,strTop,,2,
Core,strictApply1Dmd,,2,
Core,strictSigDmdEnv,2,2,
Core,strictenDmd,10,7,
Core,strictifyDictDmd,133,,
Core,strictnessInfo,,3,
Core,stripCoercionTy,3,,
Core,subDVarSet,2,2,
Core,subVarSet,21,2,
Core,substCo,4,,
Core,substCoUnchecked,4,,
Core,substCoVar,5,,
Core,substCoVarBndr,16,,
Core,substCoVars,2,,
Core,substCoWith,3,,
Core,substCoWithUnchecked,4,,
Core,substCos,4,,
Core,substEqSpec,5,,
Core,substForAllCoBndr,3,,
Core,substForAllCoBndrCallback,19,,
Core,substForAllCoBndrCallbackLC,8,,
Core,substForAllCoBndrUnchecked,3,,
Core,substLeftCo,3,,
Core,substRightCo,3,,
Core,substTheta,2,,
Core,substThetaUnchecked,2,,
Core,substTy,5,,
Core,substTyAddInScope,3,,
Core,substTyUnchecked,4,,
Core,substTyVar,6,,
Core,substTyVarBndr,2,,
Core,substTyVarBndrCallback,16,,
Core,substTyVarBndrUnchecked,2,,
Core,substTyVars,2,,
Core,substTyWith,3,,
Core,substTyWithCoVars,2,,
Core,substTyWithInScope,5,,
Core,substTyWithUnchecked,4,,
Core,substTys,4,,
Core,substTysUnchecked,4,,
Core,substTysWith,3,,
Core,substTysWithCoVars,3,,
Core,subst_co,34,,
Core,subst_ty,17,,
Core,swapLiftCoEnv,2,,
Core,synIsFamFree,,22,
Core,synIsTau,,22,
Core,synTcRhs,,22,
Core,synTyConDefn_maybe,4,6,
Core,synTyConResKind,2,,
Core,synTyConRhs_maybe,3,6,
Core,tcFlavourCanBeUnsaturated,13,16,
Core,tcFlavourIsOpen,13,16,
Core,tcRepName,,20,
Core,tcRepSplitAppTy_maybe,15,,
Core,tcRepSplitTyConApp_maybe,10,,
Core,tcRoles,,16,
Core,tcSplitTyConApp_maybe,3,,
Core,tcTyConFlavour,,22,
Core,tcTyConScopedTyVars,,22,
Core,tcTyVarDetails,4,,
Core,tcView,4,,
Core,tcm_covar,,3,
Core,tcm_hole,,3,
Core,tcm_smart,,3,
Core,tcm_tybinder,,3,
Core,tcm_tyvar,,3,
Core,tickId,,13,
Core,tickModule,,13,
Core,tickishCanSplit,4,,
Core,tickishContains,9,,
Core,tickishCounts,10,,
Core,tickishFloatable,2,2,
Core,tickishIsCode,8,,
Core,tickishPlace,7,10,
Core,tickishScoped,7,10,
Core,tickishScopesLike,7,12,
Core,tidyCo,33,,
Core,tidyCos,2,,
Core,tidyFreeTyCoVars,3,,
Core,tidyKind,2,,
Core,tidyOpenKind,2,,
Core,tidyOpenTyCoVar,7,,
Core,tidyOpenTyCoVars,2,,
Core,tidyOpenType,3,,
Core,tidyOpenTypes,7,,
Core,tidyPatSynIds,5,13,
Core,tidyToIfaceCo,5,,
Core,tidyToIfaceCoSty,4,,
Core,tidyToIfaceType,5,,
Core,tidyToIfaceTypeSty,4,,
Core,tidyTopType,2,,
Core,tidyTyCoVarBndr,10,,
Core,tidyTyCoVarBndrs,6,,
Core,tidyTyVarBinder,6,,
Core,tidyTyVarBinders,3,,
Core,tidyTyVarOcc,5,,
Core,tidyType,13,,
Core,tidyTypes,2,,
Core,toBothDmdArg,6,10,
Core,toCleanDmd,13,,
Core,toPhantomCo,4,,
Core,topDmd,2,2,
Core,topNormaliseNewType_maybe,3,,
Core,topNormaliseTypeX,17,,
Core,topRes,4,2,
Core,toposortTyVars,14,,
Core,transCloDVarSet,13,8,
Core,transCloVarSet,13,8,
Core,trimCPRInfo,11,16,
Core,trimToType,22,,
Core,tup_sort,,16,
Core,tyBinderType,3,,
Core,tyCoFVsBndr,3,,
Core,tyCoFVsOfCo,26,,
Core,tyCoFVsOfCoVar,3,,
Core,tyCoFVsOfCos,3,,
Core,tyCoFVsOfProv,5,,
Core,tyCoFVsOfType,9,,
Core,tyCoFVsOfTypes,3,,
Core,tyCoVarsOfCo,2,,
Core,tyCoVarsOfCoDSet,2,,
Core,tyCoVarsOfCoList,2,,
Core,tyCoVarsOfCos,2,,
Core,tyCoVarsOfCosSet,2,,
Core,tyCoVarsOfProv,2,,
Core,tyCoVarsOfType,2,,
Core,tyCoVarsOfTypeDSet,2,,
Core,tyCoVarsOfTypeList,2,,
Core,tyCoVarsOfTypeWellScoped,2,,
Core,tyCoVarsOfTypes,2,,
Core,tyCoVarsOfTypesDSet,2,,
Core,tyCoVarsOfTypesList,2,,
Core,tyCoVarsOfTypesSet,2,,
Core,tyCoVarsOfTypesWellScoped,2,,
Core,tyConATs,3,,
Core,tyConAppArgN,5,,
Core,tyConAppArgs,2,,
Core,tyConAppArgs_maybe,8,,
Core,tyConAppTyCon,2,,
Core,tyConAppTyConPicky_maybe,4,,
Core,tyConAppTyCon_maybe,5,,
Core,tyConArity,,10,
Core,tyConAssoc_maybe,3,6,
Core,tyConBinderArgFlag,3,6,
Core,tyConBinders,,10,
Core,tyConBindersTyBinders,5,,
Core,tyConCType,,22,
Core,tyConCType_maybe,3,6,
Core,tyConClass_maybe,3,6,
Core,tyConDataCons,2,2,
Core,tyConDataCons_maybe,9,13,
Core,tyConFamInstSig_maybe,4,,
Core,tyConFamInst_maybe,4,15,
Core,tyConFamilyCoercion_maybe,4,6,
Core,tyConFamilyResVar_maybe,3,6,
Core,tyConFamilySize,9,15,
Core,tyConFamilySizeAtMost,10,15,
Core,tyConFieldLabelEnv,4,7,
Core,tyConFieldLabels,2,2,
Core,tyConFlavour,22,29,
Core,tyConInjectivityInfo,8,,
Core,tyConKind,,10,
Core,tyConName,,10,
Core,tyConRepModOcc,35,,
Core,tyConRepName_maybe,14,29,
Core,tyConResKind,,10,
Core,tyConRoles,13,12,
Core,tyConRolesRepresentational,2,,
Core,tyConRolesX,3,,
Core,tyConRuntimeRepInfo,40,,
Core,tyConSingleAlgDataCon_maybe,7,11,
Core,tyConSingleDataCon,5,6,
Core,tyConSingleDataCon_maybe,8,12,
Core,tyConSkolem,2,,
Core,tyConStupidTheta,3,7,
Core,tyConTuple_maybe,4,10,
Core,tyConTyVarBinders,11,,
Core,tyConTyVars,,16,
Core,tyConUnique,,10,
Core,tyConVisibleTyVars,127,7,
Core,tyConsOfType,40,,
Core,tyThingCategory,13,,
Core,tyVarKind,2,2,
Core,tyVarName,2,2,
Core,ty_co_subst,26,,
Core,typeKind,9,,
Core,typeLiteralKind,5,,
Core,typeSize,9,,
Core,ud,,3,
Core,ug_args,,10,
Core,ug_arity,,10,
Core,ug_boring_ok,,10,
Core,ug_res,,10,
Core,ug_size,,10,
Core,ug_unsat_ok,,10,
Core,unSaturatedOk,,2,
Core,unfoldingInfo,,3,
Core,unfoldingTemplate,2,,
Core,unionDVarSet,2,2,
Core,unionDVarSets,2,2,
Core,unionInScope,3,5,
Core,unionTCvSubst,7,,
Core,unionVarSet,1,2,
Core,unionVarSets,1,2,
Core,uniqAway,4,4,
Core,uniqAway',20,21,
Core,unitDVarEnv,2,2,
Core,unitDVarSet,2,2,
Core,unitVarEnv,1,2,
Core,unitVarSet,1,2,
Core,unknownArity,2,2,
Core,unwrapNewTyConEtad_maybe,5,,
Core,unwrapNewTyCon_maybe,6,,
Core,unwrapNewTypeStepper,8,,
Core,updateTyVarKind,2,6,
Core,updateTyVarKindM,4,8,
Core,updateVarType,2,22,
Core,updateVarTypeM,5,8,
Core,useBot,3,2,
Core,useCount,35,7,
Core,useTop,,2,
Core,userTypeError_maybe,5,,
Core,valArgCount,18,2,
Core,valBndrCount,2,2,
Core,vanillaCafInfo,2,2,
Core,vanillaCprProdRes,2,2,
Core,vanillaIdInfo,15,4,
Core,varName,,3,
Core,varSetInScope,2,5,
Core,varToCoreExpr,4,6,
Core,varType,,3,
Core,varUnique,2,2,
Core,varsToCoreExprs,2,2,
Core,visibleDataCons,25,9,
Core,w,37,,
Core,zapCallArityInfo,13,2,
Core,zapDemandInfo,2,8,
Core,zapFragileInfo,8,6,
Core,zapFragileUnfolding,4,2,
Core,zapLamInfo,17,48,
Core,zapLiftingContext,2,,
Core,zapTCvSubst,2,,
Core,zapTailCallInfo,7,19,
Core,zapUsageDemand,6,2,
Core,zapUsageEnvInfo,6,11,
Core,zapUsageEnvSig,2,2,
Core,zapUsageInfo,2,8,
Core,zapUsedOnceDemand,6,2,
Core,zapUsedOnceInfo,4,9,
Core,zapUsedOnceSig,3,3,
Core,zap_musg,7,8,
Core,zap_usg,6,19,
Core,zipCoEnv,8,,
Core,zipCvSubst,9,,
Core,zipTvSubst,9,,
Core,zipTyEnv,4,,
Core,zipVarEnv,1,3,
Core,instance Eq,,485,
Core,instance HasOccName,,4,
Core,instance NamedThing,,40,
Core,instance Ord,,249,
Core,instance Uniquable,,20,
Core,axiomatize CoercionHole,,1,
Core,axiomatize applyRoles,,1,
Core,axiomatize applyTysX,,1,
Core,axiomatize binderRelevantType_maybe,,1,
Core,axiomatize bothArgUse,,1,
Core,axiomatize bothUse,,1,
Core,axiomatize caseBinder,,2,
Core,axiomatize castCoercionKind,,1,
Core,axiomatize checkValidSubst,,3,
Core,axiomatize classifyPredType,,1,
Core,axiomatize cloneTyVarBndr,,2,
Core,axiomatize cloneTyVarBndrs,,2,
Core,axiomatize closeOverKinds,,1,
Core,axiomatize closeOverKindsDSet,,1,
Core,axiomatize closeOverKindsList,,1,
Core,axiomatize coAxNthLHS,,1,
Core,axiomatize coHoleCoVar,,1,
Core,axiomatize coVarKind,,1,
Core,axiomatize coVarKindsTypesRole,,1,
Core,axiomatize coVarName,,1,
Core,axiomatize coVarRole,,1,
Core,axiomatize coVarTypes,,1,
Core,axiomatize coVarsOfCo,,1,
Core,axiomatize coVarsOfCoVar,,1,
Core,axiomatize coVarsOfCos,,1,
Core,axiomatize coVarsOfProv,,1,
Core,axiomatize coVarsOfType,,1,
Core,axiomatize coVarsOfTypes,,1,
Core,axiomatize coercionKind,,1,
Core,axiomatize coercionKindRole,,1,
Core,axiomatize coercionKinds,,1,
Core,axiomatize coercionRole,,1,
Core,axiomatize coercionSize,,1,
Core,axiomatize coercionType,,1,
Core,axiomatize composeSteppers,,2,
Core,axiomatize composeTCvSubst,,1,
Core,axiomatize composeTCvSubstEnv,,3,
Core,axiomatize coreView,,1,
Core,axiomatize dVarSetElemsWellScoped,,1,
Core,axiomatize dataConCannotMatch,,1,
Core,axiomatize debugPprType,,1,
Core,axiomatize debug_ppr_ty,,1,
Core,axiomatize decomposeCo,,1,
Core,axiomatize decomposeFunCo,,1,
Core,axiomatize delBinderVar,,1,
Core,axiomatize downgradeRole,,1,
Core,axiomatize downgradeRole_maybe,,1,
Core,axiomatize dropForAlls,,1,
Core,axiomatize dropRuntimeRepArgs,,1,
Core,axiomatize emptyCvSubstEnv,,1,
Core,axiomatize emptyLiftingContext,,1,
Core,axiomatize emptyTCvSubst,,1,
Core,axiomatize emptyTvSubstEnv,,1,
Core,axiomatize eqCoercion,,1,
Core,axiomatize eqCoercionX,,1,
Core,axiomatize eqRelRole,,1,
Core,axiomatize eqType,,1,
Core,axiomatize eqTypeX,,1,
Core,axiomatize eqTypes,,1,
Core,axiomatize eqVarBndrs,,1,
Core,axiomatize equalityTyCon,,1,
Core,axiomatize expandTypeSynonyms,,1,
Core,axiomatize extendCvSubst,,1,
Core,axiomatize extendCvSubstWithClone,,1,
Core,axiomatize extendLiftingContext,,2,
Core,axiomatize extendLiftingContextEx,,2,
Core,axiomatize extendTCvInScope,,1,
Core,axiomatize extendTCvInScopeList,,1,
Core,axiomatize extendTCvInScopeSet,,1,
Core,axiomatize extendTCvSubst,,1,
Core,axiomatize extendTvSubst,,1,
Core,axiomatize extendTvSubstAndInScope,,1,
Core,axiomatize extendTvSubstBinderAndInScope,,1,
Core,axiomatize extendTvSubstList,,1,
Core,axiomatize extendTvSubstWithClone,,1,
Core,axiomatize filterOutInvisibleTypes,,1,
Core,axiomatize funArgTy,,1,
Core,axiomatize funResultTy,,1,
Core,axiomatize getCastedTyVar_maybe,,1,
Core,axiomatize getClassPredTys,,1,
Core,axiomatize getClassPredTys_maybe,,1,
Core,axiomatize getCoVar_maybe,,1,
Core,axiomatize getCvSubstEnv,,1,
Core,axiomatize getEqPredRole,,1,
Core,axiomatize getEqPredTys,,1,
Core,axiomatize getEqPredTys_maybe,,1,
Core,axiomatize getHelpfulOccName,,1,
Core,axiomatize getRuntimeRep,,1,
Core,axiomatize getRuntimeRepFromKind,,1,
Core,axiomatize getRuntimeRepFromKind_maybe,,2,
Core,axiomatize getRuntimeRep_maybe,,2,
Core,axiomatize getTCvInScope,,1,
Core,axiomatize getTCvSubstRangeFVs,,1,
Core,axiomatize getTvSubstEnv,,1,
Core,axiomatize getTyVar,,1,
Core,axiomatize getTyVar_maybe,,1,
Core,axiomatize instCoercion,,1,
Core,axiomatize instCoercions,,1,
Core,axiomatize instNewTyCon_maybe,,2,
Core,axiomatize isAlgType,,1,
Core,axiomatize isAnonTyBinder,,1,
Core,axiomatize isCTupleClass,,1,
Core,axiomatize isClassPred,,1,
Core,axiomatize isCoVar_maybe,,1,
Core,axiomatize isCoercionTy,,1,
Core,axiomatize isCoercionTy_maybe,,1,
Core,axiomatize isCoercionType,,1,
Core,axiomatize isDataFamilyAppType,,1,
Core,axiomatize isDataProductTyCon_maybe,,1,
Core,axiomatize isDataSumTyCon_maybe,,1,
Core,axiomatize isDictLikeTy,,1,
Core,axiomatize isDictTy,,1,
Core,axiomatize isEmptyTCvSubst,,1,
Core,axiomatize isEqPred,,1,
Core,axiomatize isFamFreeTy,,1,
Core,axiomatize isForAllTy,,1,
Core,axiomatize isFunTy,,1,
Core,axiomatize isGenerativeTyCon,,1,
Core,axiomatize isIPClass,,1,
Core,axiomatize isIPPred,,1,
Core,axiomatize isIPPred_maybe,,1,
Core,axiomatize isIPTyCon,,1,
Core,axiomatize isInScope,,1,
Core,axiomatize isInjectiveTyCon,,1,
Core,axiomatize isInvisibleBinder,,1,
Core,axiomatize isKindTyCon,,1,
Core,axiomatize isLiftedTypeKind,,1,
Core,axiomatize isLiftedType_maybe,,2,
Core,axiomatize isMappedByLC,,1,
Core,axiomatize isNamedTyBinder,,1,
Core,axiomatize isNomEqPred,,1,
Core,axiomatize isNumLitTy,,1,
Core,axiomatize isPiTy,,1,
Core,axiomatize isPredTy,,1,
Core,axiomatize isPrimitiveType,,1,
Core,axiomatize isProductTyCon,,1,
Core,axiomatize isPromotedTupleTyCon,,1,
Core,axiomatize isReflCo,,1,
Core,axiomatize isReflCoVar_maybe,,1,
Core,axiomatize isReflCo_maybe,,1,
Core,axiomatize isReflexiveCo,,1,
Core,axiomatize isReflexiveCo_maybe,,1,
Core,axiomatize isRuntimeRepKindedTy,,1,
Core,axiomatize isRuntimeRepTy,,1,
Core,axiomatize isRuntimeRepVar,,1,
Core,axiomatize isStrLitTy,,1,
Core,axiomatize isStrictType,,1,
Core,axiomatize isTauTy,,1,
Core,axiomatize isTyVarTy,,1,
Core,axiomatize isTypeLevPoly,,1,
Core,axiomatize isUnboxedSumType,,1,
Core,axiomatize isUnboxedTupleType,,1,
Core,axiomatize isUnliftedType,,1,
Core,axiomatize isUnliftedTypeKind,,1,
Core,axiomatize isValidJoinPointType,,1,
Core,axiomatize isValidTCvSubst,,1,
Core,axiomatize isVisibleBinder,,1,
Core,axiomatize is_TYPE,,1,
Core,axiomatize kindTyConKeys,,1,
Core,axiomatize lcInScopeSet,,1,
Core,axiomatize lcSubstLeft,,1,
Core,axiomatize lcSubstRight,,1,
Core,axiomatize lcTCvSubst,,1,
Core,axiomatize liftCoSubst,,2,
Core,axiomatize liftCoSubstTyVar,,1,
Core,axiomatize liftCoSubstVarBndr,,2,
Core,axiomatize liftCoSubstVarBndrCallback,,3,
Core,axiomatize liftCoSubstWith,,2,
Core,axiomatize liftCoSubstWithEx,,4,
Core,axiomatize liftEnvSubst,,2,
Core,axiomatize liftEnvSubstLeft,,1,
Core,axiomatize liftEnvSubstRight,,1,
Core,axiomatize lookupCoVar,,1,
Core,axiomatize lookupTyVar,,1,
Core,axiomatize ltRole,,1,
Core,axiomatize lubArgUse,,1,
Core,axiomatize lubUse,,1,
Core,axiomatize mapCoercion,,2,
Core,axiomatize mapStepResult,,2,
Core,axiomatize mapType,,2,
Core,axiomatize mkAnonBinder,,1,
Core,axiomatize mkAppCo,,1,
Core,axiomatize mkAppCos,,1,
Core,axiomatize mkAppTy,,1,
Core,axiomatize mkAppTys,,1,
Core,axiomatize mkAxInstCo,,2,
Core,axiomatize mkAxInstLHS,,2,
Core,axiomatize mkAxInstRHS,,2,
Core,axiomatize mkAxiomInstCo,,2,
Core,axiomatize mkAxiomRuleCo,,1,
Core,axiomatize mkCastTy,,1,
Core,axiomatize mkClassPred,,1,
Core,axiomatize mkCoCast,,1,
Core,axiomatize mkCoVarCo,,1,
Core,axiomatize mkCoVarCos,,1,
Core,axiomatize mkCoercionTy,,1,
Core,axiomatize mkCoercionType,,1,
Core,axiomatize mkCoherenceCo,,1,
Core,axiomatize mkCoherenceLeftCo,,1,
Core,axiomatize mkCoherenceRightCo,,1,
Core,axiomatize mkEmptyTCvSubst,,1,
Core,axiomatize mkFamilyTyConApp,,1,
Core,axiomatize mkForAllCo,,1,
Core,axiomatize mkForAllCos,,1,
Core,axiomatize mkForAllTy,,1,
Core,axiomatize mkForAllTys,,1,
Core,axiomatize mkForAllTys',,1,
Core,axiomatize mkFunCo,,1,
Core,axiomatize mkFunCos,,1,
Core,axiomatize mkFunTy,,1,
Core,axiomatize mkFunTys,,1,
Core,axiomatize mkHeteroCoercionType,,1,
Core,axiomatize mkHeteroPrimEqPred,,1,
Core,axiomatize mkHeteroReprPrimEqPred,,1,
Core,axiomatize mkHoleCo,,1,
Core,axiomatize mkHomoForAllCos,,1,
Core,axiomatize mkHomoForAllCos_NoRefl,,1,
Core,axiomatize mkHomoPhantomCo,,1,
Core,axiomatize mkInstCo,,1,
Core,axiomatize mkInvForAllTy,,1,
Core,axiomatize mkInvForAllTys,,1,
Core,axiomatize mkKindCo,,1,
Core,axiomatize mkLRCo,,1,
Core,axiomatize mkLamType,,1,
Core,axiomatize mkLamTypes,,1,
Core,axiomatize mkLiftingContext,,1,
Core,axiomatize mkNomReflCo,,1,
Core,axiomatize mkNthCo,,1,
Core,axiomatize mkNthCoRole,,1,
Core,axiomatize mkNumLitTy,,1,
Core,axiomatize mkPhantomCo,,1,
Core,axiomatize mkPiCo,,1,
Core,axiomatize mkPiCos,,1,
Core,axiomatize mkPiTy,,1,
Core,axiomatize mkPiTys,,1,
Core,axiomatize mkPrimEqPred,,1,
Core,axiomatize mkPrimEqPredRole,,1,
Core,axiomatize mkProofIrrelCo,,1,
Core,axiomatize mkReflCo,,1,
Core,axiomatize mkRepReflCo,,1,
Core,axiomatize mkReprPrimEqPred,,1,
Core,axiomatize mkRuntimeRepCo,,1,
Core,axiomatize mkSpecForAllTys,,1,
Core,axiomatize mkStrLitTy,,1,
Core,axiomatize mkSubCo,,1,
Core,axiomatize mkSubstLiftingContext,,1,
Core,axiomatize mkSymCo,,1,
Core,axiomatize mkTCvSubst,,1,
Core,axiomatize mkTransAppCo,,3,
Core,axiomatize mkTransCo,,1,
Core,axiomatize mkTvSubst,,1,
Core,axiomatize mkTvSubstPrs,,1,
Core,axiomatize mkTyCoInScopeSet,,1,
Core,axiomatize mkTyConApp,,1,
Core,axiomatize mkTyConAppCo,,2,
Core,axiomatize mkTyConBindersPreferAnon,,1,
Core,axiomatize mkTyConKind,,10,
Core,axiomatize mkTyConTy,,1,
