Module,Function,Haskell,Gallina,Proofs
Core,dataConUserType,8,,
Core,dataConWorkId,2,2,
Core,dataConWrapId,4,6,
Core,dataConWrapId_maybe,4,6,
Core,data_cons,,14,
Core,dcEqSpec,,3,
Core,dcExTyVars,,3,
Core,dcFields,,3,
Core,dcInfix,,3,
Core,dcName,,3,
Core,dcOrigArgTys,,3,
Core,dcOrigResTy,,3,
Core,dcOtherTheta,,3,
Core,dcPromoted,,3,
Core,dcRep,,3,
Core,dcRepArity,,3,
Core,dcRepTyCon,,3,
Core,dcRepType,,3,
Core,dcSourceArity,,4,
Core,dcSrcBangs,,3,
Core,dcStupidTheta,,4,
Core,dcTag,,3,
Core,dcUnique,,3,
Core,dcUnivTyVars,,3,
Core,dcUserTyVarBinders,,4,
Core,dcVanilla,,3,
Core,dcWorkId,,3,
Core,dcr_arg_tys,,7,
Core,dcr_bangs,,7,
Core,dcr_boxer,,7,
Core,dcr_stricts,,7,
Core,deAnnAlt,2,2,
Core,deAnnBind,3,28,
Core,deAnnotate,2,2,
Core,deAnnotate',13,,
Core,deTagAlt,2,33,
Core,deTagBind,3,10,
Core,deTagExpr,11,24,
Core,debugPprType,2,,
Core,debug_ppr_ty,32,,
Core,decomposeCo,3,,
Core,decomposeFunCo,6,,
Core,defaultDmd,3,2,
Core,deferAfterIO,7,6,
Core,delBinderVar,2,,
Core,delBndrL,5,7,
Core,delBndrR,,7,
Core,delBndrsL,5,7,
Core,delBndrsR,,7,
Core,delDVarEnv,2,2,
Core,delDVarEnvList,2,2,
Core,delDVarSet,2,2,
Core,delDVarSetList,2,2,
Core,delInScopeSet,2,5,
Core,delVarEnv,1,2,
Core,delVarEnvList,1,2,
Core,delVarEnv_Directly,1,2,
Core,delVarSet,1,2,
Core,delVarSetByKey,1,2,
Core,delVarSetList,1,2,
Core,demandInfo,,3,
Core,disjointDVarSet,2,2,
Core,disjointVarEnv,43,2,
Core,disjointVarSet,1,2,
Core,dmdTransformDataConSig,16,,
Core,dmdTransformDictSelSig,12,55,
Core,dmdTransformSig,3,6,
Core,dmdTypeDepth,2,2,
Core,downgradeRole,7,,
Core,downgradeRole_maybe,9,,
Core,dropForAlls,6,,
Core,dropRuntimeRepArgs,2,,
Core,elemDVarEnv,2,2,
Core,elemDVarSet,2,2,
Core,elemInScopeSet,2,5,
Core,elemVarEnv,1,2,
Core,elemVarEnvByKey,1,2,
Core,elemVarSet,1,2,
Core,elemVarSetByKey,1,2,
Core,emptyCvSubstEnv,2,,
Core,emptyDVarEnv,2,2,
Core,emptyDVarSet,2,2,
Core,emptyDmdEnv,2,2,
Core,emptyInScopeSet,2,2,
Core,emptyLiftingContext,2,,
Core,emptyRuleEnv,25,2,
Core,emptyRuleInfo,2,2,
Core,emptyTCvSubst,2,,
Core,emptyTidyEnv,7,2,
Core,emptyTvSubstEnv,2,,
Core,emptyVarEnv,1,2,
Core,emptyVarSet,1,2,
Core,ensureArgs,9,9,
Core,envL,,3,
Core,envR,,3,
Core,eqCoercion,2,,
Core,eqCoercionX,6,,
Core,eqHsBang,7,,
Core,eqRelRole,6,,
Core,eqSpecPair,2,2,
Core,eqSpecPreds,3,,
Core,eqSpecTyVar,2,2,
Core,eqSpecType,2,2,
Core,eqType,2,,
Core,eqTypeX,2,,
Core,eqTypes,2,,
Core,eqVarBndrs,7,,
Core,equalityTyCon,4,,
Core,evalDmd,2,2,
